#Freeway,Station,Lanetype,Absolute_Postmile,Lanes,Direction,District,Name,California_Postmile,Latitude,Longitude
SR51-N,315879,HOV,0.104,1,a,3,T St,0.104,38.560187,-121.472685
SR51-S,315861,HOV,0.104,1,d,3,T St.,0.104,38.560257,-121.472941
SR51-N,313956,ML,0.104,3,a,3,T St.,0.104,38.560187,-121.472685
SR51-S,312852,ML,0.104,3,d,3,T St.,0.104,38.560257,-121.472941
SR57-S,1201991,HOV,0.151,1,d,12,RTE 22 & 5,10.8,33.777415,-117.874735
SR57-S,1211954,ML,0.151,2,d,12,RTE 22 & 5,10.8,33.777415,-117.874735
SR57-N,1211906,HOV,0.366,1,a,12,AT CHAPMAN OFF,11.1,33.78435,-117.879424
SR57-N,1211907,ML,0.366,5,a,12,AT CHAPMAN OFF,11.1,33.78435,-117.879424
I405-N,1211067,HOV,0.37,1,a,12,N OF 5,0.6,33.646486,-117.741156
I405-S,1211065,HOV,0.37,1,d,12,N OF 5,0.6,33.646186,-117.741301
I405-N,1211066,ML,0.37,3,a,12,N OF 5,0.6,33.646486,-117.741156
I405-S,1201118,ML,0.37,5,d,12,N OF 5,0.6,33.646186,-117.741301
SR57-S,1209033,HOV,0.431,1,d,12,CHAPMAN 1,11.08,33.783256,-117.880197
SR57-S,1201998,ML,0.431,4,d,12,CHAPMAN 1,11.08,33.783256,-117.880197
SR57-N,1211939,HOV,0.466,1,a,12,CHAPMAN 1,11.2,33.786905,-117.879753
SR57-N,1202011,ML,0.486,5,a,12,CHAPMAN 1,11.22,33.787426,-117.879769
I405-S,1201085,HOV,0.54,1,d,12,IRVINE C1,0.77,33.647015,-117.744091
I405-S,1201087,ML,0.54,5,d,12,IRVINE C1,0.77,33.647015,-117.744091
SR57-N,1202022,HOV,0.566,1,a,12,CHAPMAN 2,11.3,33.788781,-117.879807
SR134-E,761017,HOV,0.59,1,a,7,VINELAND AVE,0.59,34.153108,-118.366127
SR134-E,761016,ML,0.59,4,a,7,VINELAND AVE,0.59,34.153108,-118.366127
SR57-N,1202024,ML,0.656,6,a,12,CHAPMAN 2,11.39,33.790105,-117.879799
I405-N,1208954,HOV,0.7,1,a,12,IRVINE C1,0.93,33.64809,-117.746598
I405-N,1201100,ML,0.7,5,a,12,IRVINE C1,0.93,33.64809,-117.746598
I405-S,1201110,HOV,0.73,1,d,12,IRVINE C2,0.96,33.64795,-117.747203
I405-S,1201112,ML,0.73,4,d,12,IRVINE C2,0.96,33.64795,-117.747203
I405-N,1209043,HOV,0.88,1,a,12,IRVINE C2,1.11,33.648958,-117.74955
I405-N,1201125,ML,0.88,6,a,12,IRVINE C2,1.11,33.648958,-117.74955
SR57-S,1209035,HOV,0.901,1,d,12,ORANGEWOOD,11.55,33.792388,-117.879621
SR57-S,1202040,ML,0.901,4,d,12,ORANGEWOOD,11.55,33.792388,-117.879621
SR57-N,1209029,HOV,0.946,1,a,12,ORANGEWO1,11.68,33.794121,-117.878448
SR57-N,1202053,ML,0.946,5,a,12,ORANGEWO1,11.68,33.794121,-117.878448
SR134-E,760975,HOV,0.95,1,a,7,CAHUENGA,0.95,34.153063,-118.359904
SR134-E,717570,ML,0.95,4,a,7,CAHUENGA,0.95,34.153063,-118.359904
SR51-S,315860,HOV,1.1,1,d,3,J St.,1.1,38.573939,-121.467061
SR51-S,312854,ML,1.19,3,d,3,J St.,1.19,38.575167,-121.466517
I405-N,1209090,HOV,1.34,1,a,12,S OF 133,1.57,33.651141,-117.757101
I405-S,1201131,HOV,1.34,1,d,12,S OF 133,1.57,33.650789,-117.757205
I405-N,1209092,ML,1.34,5,a,12,S OF 133,1.57,33.651141,-117.757101
I405-S,1209091,ML,1.34,4,d,12,S OF 133,1.57,33.650789,-117.757205
SR57-N,1213627,HOV,1.466,1,a,12,STADIUM,12.2,33.801385,-117.87859
SR57-N,1213618,ML,1.466,5,a,12,STADIUM,12.2,33.801385,-117.87859
SR91-W,765594,HOV,1.548,1,d,7,AVALON 1,R7.55,33.873537,-118.264071
SR91-W,717368,ML,1.548,4,d,7,AVALON 1,R7.55,33.873537,-118.264071
SR57-S,1213628,HOV,1.551,1,d,12,STADIUM,12.2,33.801383,-117.878863
SR57-S,1213624,ML,1.551,5,d,12,STADIUM,12.2,33.801383,-117.878863
I605-N,1202527,ML,1.669,4,a,12,KATELLA 1,R1.26,33.80097,-118.082822
I405-N,1209163,HOV,1.7,1,a,12,N OF 133,1.93,33.652204,-117.763194
I405-S,1201134,HOV,1.7,1,d,12,N OF 133,1.93,33.651837,-117.763315
I405-N,1209162,ML,1.7,4,a,12,N OF 133,1.93,33.652204,-117.763194
I405-S,1209161,ML,1.7,4,d,12,N OF 133,1.93,33.651837,-117.763315
SR57-S,1209037,HOV,1.751,1,d,12,KATELLA 1,12.4,33.804096,-117.88008
SR57-S,1202078,ML,1.751,4,d,12,KATELLA 1,12.4,33.804096,-117.88008
SR57-N,1202091,HOV,1.766,1,a,12,KATELLA 1,12.5,33.805531,-117.880058
SR57-N,1202093,ML,1.766,4,a,12,KATELLA 1,12.5,33.805531,-117.880058
I105-E,763634,HOV,1.8,1,a,7,IMPERIAL 1,R1.8,33.929816,-118.373757
I105-W,766873,HOV,1.8,1,d,7,IMPERIAL 1,R1.8,33.93015,-118.373771
I105-E,760063,ML,1.8,3,a,7,IMPERIAL 1,R1.8,33.929816,-118.373757
I105-W,716407,ML,1.8,3,d,7,IMPERIAL 1,R1.8,33.93015,-118.373771
SR134-W,761022,HOV,1.9,1,d,7,ALAMEDA SB,1.9,34.154195,-118.343722
SR134-W,718496,ML,1.9,4,d,7,ALAMEDA SB,1.9,34.154195,-118.343722
SR134-W,774206,HOV,1.92,1,d,7,ALAMEDA 2 NB,1.92,34.154161,-118.343375
SR134-W,774204,ML,1.92,4,d,7,ALAMEDA 2 NB,1.92,34.154161,-118.343375
SR57-S,1209039,HOV,1.931,1,d,12,KATELLA 2,12.58,33.806677,-117.880243
SR57-S,1202105,ML,1.931,4,d,12,KATELLA 2,12.58,33.806677,-117.880243
I605-N,1213789,HOV,1.959,1,a,12,KATELLA 2,R1.55,33.804853,-118.081293
SR57-N,1202116,HOV,1.966,1,a,12,KATELLA 2,12.7,33.808355,-117.879559
SR134-E,773881,HOV,2,1,a,7,W/O PASS,2,34.153816,-118.341876
SR134-E,773880,ML,2,4,a,7,W/O PASS,2,34.153816,-118.341876
SR57-N,1202118,ML,2.006,4,a,12,KATELLA 2,12.74,33.808904,-117.879353
SR14-N,764260,HOV,2.062,1,a,7,SAN FERNANDO,R26.85,34.362535,-118.504833
SR14-N,764262,ML,2.062,3,a,7,SAN FERNANDO,R26.85,34.362535,-118.504833
SR134-E,760989,HOV,2.11,1,a,7,HOLLYWOOD WAY,2.11,34.153535,-118.339979
SR134-E,760987,ML,2.11,4,a,7,HOLLYWOOD WAY,2.11,34.153535,-118.339979
I405-N,1209177,HOV,2.12,1,a,12,LAGUNA CANYON RD,2.35,33.65368,-117.770173
I405-S,1209179,HOV,2.12,1,d,12,LAGUNA CANYON RD,2.35,33.653346,-117.770361
I405-N,1209176,ML,2.12,5,a,12,LAGUNA CYN RD,2.35,33.65368,-117.770173
I405-S,1209178,ML,2.12,5,d,12,LAGUNA CANYON RD,2.35,33.653346,-117.770361
SR57-N,1213743,HOV,2.166,1,a,12,DOUGLASS,12.9,33.811084,-117.878472
SR57-N,1213741,ML,2.166,4,a,12,DOUGLASS,12.9,33.811084,-117.878472
SR91-E,763604,HOV,2.268,1,a,7,CENTRAL 1,R8.27,33.873496,-118.251545
SR91-W,765793,HOV,2.268,1,d,7,CENTRAL 1,R8.27,33.873676,-118.251564
SR91-E,717376,ML,2.268,4,a,7,CENTRAL 1,R8.27,33.873496,-118.251545
SR91-W,717375,ML,2.268,4,d,7,CENTRAL 1,R8.27,33.873676,-118.251564
SR134-E,773891,HOV,2.3,1,a,7,W/O BOB HOPE,2.3,34.152957,-118.336851
SR134-E,773890,ML,2.3,4,a,7,W/O BOB HOPE,2.3,34.152957,-118.336851
SR170-N,765605,HOV,2.346,1,a,7,MAGNOLIA,R15.26,34.163318,-118.381873
SR170-S,766971,HOV,2.346,1,d,7,MAGNOLIA,R15.26,34.163266,-118.382094
SR170-N,765604,ML,2.346,4,a,7,MAGNOLIA,R15.26,34.163318,-118.381873
SR170-S,764101,ML,2.346,4,d,7,MAGNOLIA,R15.26,34.163266,-118.382094
I105-E,767839,HOV,2.5,1,a,7,FM 405 NB,R2.5,33.931513,-118.361927
I105-E,767838,ML,2.5,3,a,7,FM 405 NB,R2.5,33.931513,-118.361927
SR57-N,1202144,HOV,2.566,1,a,12,BALL 1,13.3,33.816586,-117.876479
I105-W,763710,HOV,2.6,1,d,7,INGLEWOOD,R2.6,33.932384,-118.3602
I105-W,716409,ML,2.6,3,d,7,INGLEWOOD,R2.6,33.932384,-118.3602
SR57-S,1202130,HOV,2.621,1,d,12,BALL 1,13.27,33.816163,-117.876814
SR57-S,1202132,ML,2.621,4,d,12,BALL 1,13.27,33.816163,-117.876814
SR57-N,1202146,ML,2.646,4,a,12,BALL 1,13.38,33.81772,-117.876254
I405-S,1201143,HOV,2.65,1,d,12,SAND CANYON,2.88,33.657534,-117.778085
